Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop
0.7466499022221073,-0.2659871006173885,2.658032012195128,0.13131754479994065,0.998124037931908,-0.06634307812751936,1.775016318695814,6
1.2857658404240138,0.29945185514191863,2.1326550791055925,-1.262424528121834,0.9643488583602458,0.3578882962496988,1.550901709920045,6
-0.7628747247432311,1.753437741380137,-0.8882622861592361,-1.1290651297468404,-1.764093323986923,-0.4553835842237682,-0.5841693210411955,1
0.06376971383302564,0.1378978677821166,0.2938358132922187,0.36265800422700534,0.13271624427647669,0.10066245299429759,-0.5577578791797132,0
-1.3738727880387251,-1.3968650121360027,-1.01960651943162,0.49718272311008693,1.08655603420072,0.06495925427065723,-0.8584971353682872,4
-0.2596998490881183,1.3495527729806318,0.031147346747450965,0.7521780886010162,-0.03461241302585483,-0.43679114091891436,-0.04438938218534014,5
-0.008112411260561904,-0.42754108797719054,-0.7569180528868522,0.62622874785318,1.2395740489469653,0.45397181488489957,-0.8524844874538104,4
-1.2301085378515502,1.672660747700236,0.2938358132922187,-1.1383021224406862,-1.7041427707047858,-0.6333593803214506,-0.5550579666033695,1
-0.2596998490881183,0.21867486146201762,-0.10019688652493289,-0.6931278411811753,-1.836134997308329,-0.4762917401538391,0.24447986538099575,1
1.3217069029708075,-1.4776420058159037,1.7386223792884412,-0.8634849879444151,0.9569391184753785,-0.4692315506100975,1.79302028399383,6
-1.0504032251175812,1.2687757793007308,-0.3628853530697006,-1.3771083140460958,-1.677310854881075,-0.47203762931317034,0.10723930467192823,1
-1.1941674753047564,0.5417828361816217,0.16249158001983482,-0.6246852983163578,-1.7197582276564465,-0.5662851139978703,0.022322180490735404,1
-0.6550515371028498,-0.9929800437364976,0.16249158001983482,-0.3276969734749077,-0.18048042826131802,-0.3913222430636661,-0.7163739748482482,3
-0.5472283494624685,1.591883754020335,0.16249158001983482,-2.296030197478441,-1.6778353695015258,-0.8652213685154675,0.44065677598991837,1
1.5373532782515702,0.1378978677821166,2.920720478739896,-0.010723317411586346,1.1154706075548733,-0.5492521833608387,2.1129499709656865,6
-0.5472283494624685,0.29945185514191863,-0.10019688652493289,-0.914729364469894,-1.8559046224467917,-0.537117586092567,0.42600653460633064,1
-1.4457549131323126,1.1072217919409288,-0.23154111979731676,2.300966583108091,-0.1947403288509503,-1.7740969036304994,-0.07050164984926408,5
